index,fname,label,length
0,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.noise1.wav,German,10
1,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.noise10.wav,German,10
2,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.noise11.wav,German,10
3,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.noise12.wav,German,10
4,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.noise2.wav,German,10
5,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.noise3.wav,German,10
6,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.noise4.wav,German,10
7,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.noise5.wav,German,10
8,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.noise6.wav,German,10
9,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.noise7.wav,German,10
10,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.noise8.wav,German,10
11,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.noise9.wav,German,10
12,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.pitch1.wav,German,10
13,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.pitch2.wav,German,10
14,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.pitch3.wav,German,10
15,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.pitch4.wav,German,10
16,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.pitch5.wav,German,10
17,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.pitch6.wav,German,10
18,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.pitch7.wav,German,10
19,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.pitch8.wav,German,10
20,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.speed1.wav,German,10
21,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.speed2.wav,German,10
22,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.speed3.wav,German,10
23,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.speed4.wav,German,10
24,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.speed5.wav,German,10
25,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.speed6.wav,German,10
26,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.speed7.wav,German,10
27,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.speed8.wav,German,10
28,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment1.wav,German,10
29,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.noise1.wav,German,10
30,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.noise10.wav,German,10
31,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.noise11.wav,German,10
32,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.noise12.wav,German,10
33,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.noise2.wav,German,10
34,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.noise3.wav,German,10
35,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.noise4.wav,German,10
36,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.noise5.wav,German,10
37,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.noise6.wav,German,10
38,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.noise7.wav,German,10
39,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.noise8.wav,German,10
40,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.noise9.wav,German,10
41,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.pitch1.wav,German,10
42,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.pitch2.wav,German,10
43,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.pitch3.wav,German,10
44,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.pitch4.wav,German,10
45,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.pitch5.wav,German,10
46,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.pitch6.wav,German,10
47,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.pitch7.wav,German,10
48,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.pitch8.wav,German,10
49,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.speed1.wav,German,10
50,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.speed2.wav,German,10
51,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.speed3.wav,German,10
52,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.speed4.wav,German,10
53,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.speed5.wav,German,10
54,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.speed6.wav,German,10
55,de_f_0809fd0642232f8c85b0b3d545dc2b5a.fragment10.speed7.wav,German,10
